img_name,mask_name,lrc,redness,wpld,wprg,wpyv,gwld,gwrg,gwyv,gwl,gwa,gwb,hv,mean_cone_l,mean_cone_m,mean_cone_s,sd_cone_l,sd_cone_m,sd_cone_s,rmc_l,rmc_m,rmc_s,rsd_l,rsd_m,rsd_s,wpL,wpA,wpB
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_2_ld_2_bkgd_voronoi_yellow.png,../../../../images/masks/obj_mask.png,-0.2162029,-0.2831320,0.5082637,-0.3477943,-0.4385809,-0.9405635,-0.0148046,-0.0428462,14.7565417,-9.6662754,13.1624993,0.0767311,0.0059412,0.0053149,0.0010231,0.0117262,0.0112781,0.0030373,0.4175212,0.5142796,0.3096114,0.7243858,0.9324622,0.7187069,89.5861811,-28.6994733,16.8868117
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_3_ld_1_bkgd_voronoi_blue.png,../../../../images/masks/obj_mask.png,0.4985469,-0.3504834,0.5283639,-0.3232679,-0.0841210,-0.9823755,-0.0130015,0.0211905,5.4880265,-2.8481627,-9.1172070,0.0555070,0.0016968,0.0017990,0.0017721,0.0069521,0.0064356,0.0036295,0.1545452,0.1721317,0.1243952,0.4685561,0.4570229,0.2355352,90.0531523,-19.8063653,2.9698484
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_3_ld_1_bkgd_voronoi_diff_dist.png,../../../../images/masks/obj_mask.png,0.5750094,-0.3326797,0.5319924,-0.3138437,-0.0880379,-0.9948723,-0.0017351,0.0023414,0.8463880,0.1780167,-1.7018428,0.0483165,0.0005158,0.0004769,0.0003504,0.0069456,0.0062633,0.0031644,0.2600472,0.2918350,0.1495919,2.0509457,2.2025250,0.9229285,90.1370130,-19.2961479,3.1054989
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_3_ld_1_bkgd_voronoi_green.png,../../../../images/masks/obj_mask.png,0.5122347,-0.3449824,0.5419318,-0.2592309,-0.0735560,-0.9809463,-0.0137511,-0.0029556,5.8948889,-10.0788804,1.0676930,0.1009276,0.0017979,0.0018989,0.0007921,0.0071980,0.0066776,0.0032306,0.1602484,0.1763662,0.1565682,0.4735938,0.4619608,0.4882256,90.3660525,-15.7604800,2.5759101
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_3_ld_1_bkgd_voronoi_red.png,../../../../images/masks/obj_mask.png,-0.2258858,-0.2079737,0.5419318,-0.2592309,-0.0735560,-0.9841203,0.0073429,0.0057326,5.0439680,7.5967388,-2.8214803,0.1141436,0.0017694,0.0012225,0.0010251,0.0071559,0.0063545,0.0033326,0.1080281,0.1560831,0.1354093,0.3591342,0.6089622,0.3499062,90.3660525,-15.7604800,2.5759101
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_3_ld_1_bkgd_voronoi_yellow.png,../../../../images/masks/obj_mask.png,-0.0055937,-0.2908562,0.5428884,-0.3248689,-0.0855653,-0.9829615,-0.0043978,-0.0061793,5.3111484,-3.7843164,2.8969793,0.2754763,0.0017106,0.0015361,0.0005584,0.0070307,0.0063496,0.0031172,0.1338194,0.1706777,0.1748726,0.4224127,0.5168871,0.7076175,90.3880458,-19.7954059,3.0022294
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_3_ld_2_bkgd_voronoi_blue.png,../../../../images/masks/obj_mask.png,0.2885638,-0.3542589,0.4927760,-0.3986392,-0.1104970,-0.9341626,-0.0602092,0.0625087,15.6593343,-11.6578628,-16.2193225,0.0772854,0.0061524,0.0069254,0.0058909,0.0117748,0.0126774,0.0068373,0.4997931,0.5731907,0.3785990,0.8160000,0.9174456,0.4579409,89.2235306,-25.2559308,3.9857057
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_3_ld_2_bkgd_voronoi_diff_dist.png,../../../../images/masks/obj_mask.png,0.3937832,-0.3302787,0.4919214,-0.4333549,-0.1212753,-0.9903318,-0.0047284,0.0069534,2.3748622,-0.3058790,-4.0263122,0.0517788,0.0009564,0.0009320,0.0007703,0.0076718,0.0071820,0.0035051,0.4442492,0.5128877,0.3045495,2.2278916,2.4661856,1.0145900,89.2034471,-27.6360750,4.3859162
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_3_ld_2_bkgd_voronoi_green.png,../../../../images/masks/obj_mask.png,0.2707870,-0.3503947,0.5018826,-0.5461854,-0.1529603,-0.9306735,-0.0616320,-0.0261741,16.3982789,-29.4937062,5.7245680,0.0598873,0.0063582,0.0071154,0.0022068,0.0120596,0.0129326,0.0042526,0.5015758,0.5666056,0.4005536,0.8115979,0.9006451,0.6671631,89.4370684,-35.2762068,5.5424885
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_3_ld_2_bkgd_voronoi_red.png,../../../../images/masks/obj_mask.png,-0.3542742,-0.2152287,0.4877166,-0.5099655,-0.1399029,-0.9449518,0.0210203,0.0134398,13.6763399,14.3003944,-4.3475032,0.1590087,0.0060627,0.0043160,0.0032720,0.0118797,0.0104881,0.0057164,0.3447066,0.4936068,0.3975028,0.6144261,1.0262803,0.6171842,89.1045193,-32.9199916,5.0891091
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_3_ld_2_bkgd_voronoi_yellow.png,../../../../images/masks/obj_mask.png,-0.1198984,-0.3060170,0.5122912,-0.5224890,-0.1515208,-0.9402482,-0.0295311,-0.0316400,14.4049091,-14.5501152,8.7675900,0.1067683,0.0057896,0.0056511,0.0015185,0.0119016,0.0120959,0.0040060,0.4176922,0.5524459,0.4385182,0.7421190,1.0061093,0.9446737,89.6800802,-33.5567908,5.4622906
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_4_ld_1_bkgd_voronoi_blue.png,../../../../images/masks/obj_mask.png,0.5338005,-0.3601322,0.5269954,-0.3839744,0.1344105,-0.9826086,-0.0148021,0.0310333,5.3586100,-1.4548195,-12.3559717,0.0265081,0.0016632,0.0018299,0.0021876,0.0069868,0.0067248,0.0044117,0.1512108,0.1741452,0.1502691,0.4705881,0.4767386,0.2846364,90.0214894,-19.0820075,-4.5568872
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_4_ld_1_bkgd_voronoi_diff_dist.png,../../../../images/masks/obj_mask.png,0.6271321,-0.3490337,0.5188554,-0.4372965,0.1302969,-0.9950174,-0.0023349,0.0039354,0.8366583,0.1971098,-2.3013452,0.0240002,0.0004949,0.0004789,0.0004123,0.0067299,0.0062758,0.0035917,0.2499473,0.2926318,0.1745055,1.9930539,2.2104888,1.0458961,89.8327627,-22.4076113,-4.4359151
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_4_ld_1_bkgd_voronoi_green.png,../../../../images/masks/obj_mask.png,0.4883796,-0.3506362,0.5264413,-0.4573592,0.1372108,-0.9806978,-0.0155888,0.0018295,5.8297048,-9.7044260,-0.8236369,0.1077518,0.0018062,0.0019640,0.0010113,0.0072037,0.0069220,0.0038349,0.1616411,0.1827059,0.1972524,0.4750761,0.4798138,0.5793388,90.0086644,-23.3892453,-4.6505727
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_4_ld_1_bkgd_voronoi_red.png,../../../../images/masks/obj_mask.png,-0.0701921,-0.2366039,0.5264413,-0.4573592,0.1372108,-0.9842456,0.0027080,0.0137497,4.8995769,6.4546021,-5.6774726,0.0943248,0.0017053,0.0013161,0.0013652,0.0068859,0.0063690,0.0039559,0.1048764,0.1682729,0.1780541,0.3462235,0.6111141,0.4148776,90.0086644,-23.3892453,-4.6505727
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_4_ld_1_bkgd_voronoi_yellow.png,../../../../images/masks/obj_mask.png,0.1556841,-0.3093414,0.5230369,-0.4662014,0.1408859,-0.9838286,-0.0069338,-0.0022070,5.0413650,-4.5999357,1.2181766,0.3691636,0.0015914,0.0015182,0.0006876,0.0067391,0.0063597,0.0035355,0.1252993,0.1691841,0.2123099,0.4053921,0.5184988,0.8018031,89.9297958,-23.8847187,-4.7788288
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_4_ld_2_bkgd_voronoi_blue.png,../../../../images/masks/obj_mask.png,0.3529920,-0.3628034,0.4661157,-0.4917176,0.1433810,-0.9176467,-0.0840056,0.1195781,17.9661796,-9.8511687,-23.1758871,0.0455735,0.0076415,0.0088988,0.0091629,0.0134305,0.0149936,0.0105202,0.6223130,0.7278677,0.5605919,0.9324804,1.0753291,0.7027233,88.5933492,-26.0893255,-4.9813441
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_4_ld_2_bkgd_voronoi_diff_dist.png,../../../../images/masks/obj_mask.png,0.4174284,-0.3502934,0.4861538,-0.4040915,0.1206607,-0.9905077,-0.0067678,0.0102829,2.0769287,-0.2435548,-5.4186481,0.0269339,0.0009153,0.0009625,0.0009054,0.0080186,0.0080836,0.0044091,0.4387151,0.5462040,0.3573057,2.3584582,2.8111136,1.2811278,89.0677046,-20.9425035,-4.1731634
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_4_ld_2_bkgd_voronoi_green.png,../../../../images/masks/obj_mask.png,0.2359528,-0.3549804,0.4737799,-0.5111727,0.1500149,-0.9196061,-0.0763418,-0.0090728,17.4652794,-29.2335377,0.9422215,0.0784784,0.0073398,0.0083807,0.0034814,0.0138643,0.0153748,0.0064635,0.5918609,0.6773393,0.6036810,0.9425710,1.0797760,1.0038074,88.7752888,-27.0653923,-5.1880952
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_4_ld_2_bkgd_voronoi_red.png,../../../../images/masks/obj_mask.png,-0.2879933,-0.2522601,0.4731526,-0.3672656,0.1325347,-0.9492116,-0.0029334,0.0482453,13.0224996,10.4624026,-12.2070238,0.1115068,0.0053434,0.0044799,0.0045658,0.0106725,0.0105856,0.0074306,0.3135439,0.5165821,0.5293231,0.5549038,1.0403577,0.7974398,88.7604218,-18.6065598,-4.5996712
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_4_ld_2_bkgd_voronoi_yellow.png,../../../../images/masks/obj_mask.png,-0.0279533,-0.3237501,0.4810858,-0.6404539,0.1604298,-0.9450320,-0.0367024,-0.0141658,13.6120535,-16.4856738,3.7966194,0.1687420,0.0052187,0.0054107,0.0020416,0.0111806,0.0118923,0.0051507,0.3761857,0.5246561,0.5541112,0.6920685,0.9833435,1.1965861,88.9481357,-34.9531057,-5.5202394
mitsuba_comp_rmc_rsd_illum_1_rg_3_by_1_ld_1_bkgd_voronoi_blue.png,../../../../images/masks/obj_mask.png,0.0698557,-0.2848663,0.5847377,0.2290355,-0.4988360,-0.9781680,-0.0012520,0.0051343,6.4795768,0.6647461,-3.3903677,0.3200304,0.0022725,0.0019015,0.0012847,0.0083216,0.0064970,0.0028351,0.2028306,0.1812941,0.0909512,0.5596833,0.4620761,0.1841552,91.3413661,3.2367396,18.7484371
