sub_id,trial,img,illum,rg,by,lighter_darker,bkgd,mean_l,mean_a,mean_b,max_l,max_a,max_b,mean_ratio_l,mean_ratio_m,mean_ratio_s,std_ratio_l,std_ratio_m,std_ratio_s,lrc,redness,wpld,wprg,wpyv,gwld,gwrg,gwyv,gwl,gwa,gwb,hv,mean_cone_l,mean_cone_m,mean_cone_s,sd_cone_l,sd_cone_m,sd_cone_s,rmc_l,rmc_m,rmc_s,rsd_l,rsd_m,rsd_s,wpL,wpA,wpB
06,2,3,red,1,4,lighter,voronoi_red,27.5678169,11.8321994,-32.3389403,33.2309905,12.6785927,-35.4871002,0.1255153,0.1433635,0.3307076,0.1241473,0.1411445,0.3287198,-0.047942,-0.27352,0.50625,-0.37725,-0.073328,-0.96528,-0.0070242,0.025847,9.6537,4.3606,-8.8558,0.16825,0.0035727,0.003151,0.0028089,0.0091551,0.0091888,0.005171,0.18429,0.36992,0.39486,0.4121,0.90917,0.65707,89.5392,-23.0364,2.6091
06,3,3,red,1,4,lighter,voronoi_red,33.6169874,17.4266959,-41.4788852,40.0523682,18.8580843,-45.6388407,0.1861160,0.2137526,0.5468208,0.1836924,0.2098039,0.5432753,-0.047942,-0.27352,0.50625,-0.37725,-0.073328,-0.96528,-0.0070242,0.025847,9.6537,4.3606,-8.8558,0.16825,0.0035727,0.003151,0.0028089,0.0091551,0.0091888,0.005171,0.18429,0.36992,0.39486,0.4121,0.90917,0.65707,89.5392,-23.0364,2.6091
06,4,3,red,1,4,lighter,voronoi_red,39.7566230,-21.0980756,-26.5958290,47.0524190,-24.9080167,-28.8055846,0.2419897,0.3263242,0.4896847,0.2405705,0.3244885,0.4876834,-0.047942,-0.27352,0.50625,-0.37725,-0.073328,-0.96528,-0.0070242,0.025847,9.6537,4.3606,-8.8558,0.16825,0.0035727,0.003151,0.0028089,0.0091551,0.0091888,0.005171,0.18429,0.36992,0.39486,0.4121,0.90917,0.65707,89.5392,-23.0364,2.6091
06,1,4,red,1,4,lighter,voronoi_red_brighter,37.4564696,-31.2247858,-25.2032521,44.4536760,-36.4689212,-27.2861598,0.2069227,0.2985732,0.4278541,0.2057204,0.2971574,0.4261718,-0.11596,-0.29396,0.53822,-0.11731,-0.11325,-0.94322,-0.024184,0.051512,14.3063,2.2351,-13.6851,0.13865,0.0056828,0.0054188,0.0049891,0.011144,0.011687,0.0068257,0.21674,0.44164,0.44729,0.44389,0.94295,0.65175,90.2807,-8.4966,4.0038
06,2,4,red,1,4,lighter,voronoi_red_brighter,44.1191117,9.2671758,-41.0608085,51.9471437,9.4841942,-44.9605338,0.3247848,0.3820462,0.8069397,0.3216332,0.3770582,0.8022665,-0.11596,-0.29396,0.53822,-0.11731,-0.11325,-0.94322,-0.024184,0.051512,14.3063,2.2351,-13.6851,0.13865,0.0056828,0.0054188,0.0049891,0.011144,0.011687,0.0068257,0.21674,0.44164,0.44729,0.44389,0.94295,0.65175,90.2807,-8.4966,4.0038
06,3,4,red,1,4,lighter,voronoi_red_brighter,41.4280428,4.4952618,-35.2564368,48.9164579,4.1638154,-38.4945025,0.2813741,0.3326973,0.6438714,0.2790203,0.3290294,0.6403937,-0.11596,-0.29396,0.53822,-0.11731,-0.11325,-0.94322,-0.024184,0.051512,14.3063,2.2351,-13.6851,0.13865,0.0056828,0.0054188,0.0049891,0.011144,0.011687,0.0068257,0.21674,0.44164,0.44729,0.44389,0.94295,0.65175,90.2807,-8.4966,4.0038
06,4,4,red,1,4,lighter,voronoi_red_brighter,43.2655228,-4.1932728,-26.7014957,51.0193634,-5.5992463,-28.8574371,0.3064049,0.3628474,0.5678185,0.3047988,0.3604787,0.5653809,-0.11596,-0.29396,0.53822,-0.11731,-0.11325,-0.94322,-0.024184,0.051512,14.3063,2.2351,-13.6851,0.13865,0.0056828,0.0054188,0.0049891,0.011144,0.011687,0.0068257,0.21674,0.44164,0.44729,0.44389,0.94295,0.65175,90.2807,-8.4966,4.0038
06,1,5,green,1,2,darker,voronoi_diff_dist,27.9521049,-29.8199649,-5.6451655,33.7364464,-34.3364252,-5.5344767,0.1171130,0.1568325,0.1415033,0.1171065,0.1570930,0.1414696,0.44065,-0.34318,0.516,-0.59114,-0.41635,-0.9953,-0.0026358,-0.000261,0.69587,-0.59209,-0.59712,0.13141,0.0004547,0.0004542,0.0002161,0.0065854,0.0064238,0.0023601,0.27927,0.32495,0.12547,2.3459,2.6068,0.92609,89.7665,-43.6833,15.8834
06,2,5,green,1,2,darker,voronoi_diff_dist,40.0924104,-30.5005119,-11.9691993,47.4637181,-35.3058437,-12.4011770,0.2463628,0.3232607,0.3377323,0.2460112,0.3231838,0.3371967,0.44065,-0.34318,0.516,-0.59114,-0.41635,-0.9953,-0.0026358,-0.000261,0.69587,-0.59209,-0.59712,0.13141,0.0004547,0.0004542,0.0002161,0.0065854,0.0064238,0.0023601,0.27927,0.32495,0.12547,2.3459,2.6068,0.92609,89.7665,-43.6833,15.8834
06,3,5,green,1,2,darker,voronoi_diff_dist,42.1633568,-31.6964931,-2.9383816,49.8231605,-36.4956473,-2.2522969,0.2779659,0.3495837,0.2876768,0.2781622,0.3504051,0.2879526,0.44065,-0.34318,0.516,-0.59114,-0.41635,-0.9953,-0.0026358,-0.000261,0.69587,-0.59209,-0.59712,0.13141,0.0004547,0.0004542,0.0002161,0.0065854,0.0064238,0.0023601,0.27927,0.32495,0.12547,2.3459,2.6068,0.92609,89.7665,-43.6833,15.8834
