sub_id,trial,img,img_name,illum,rg,by,lighter_darker,bkgd,mean_ld,mean_rg,mean_yv,mean_l,mean_a,mean_b,mean_cone_l,mean_cone_m,mean_cone_s,max_l,max_a,max_b,mean_ratio_l,mean_ratio_m,mean_ratio_s,std_ratio_l,std_ratio_m,std_ratio_s,lrc,redness,wpld,wprg,wpyv,gwld,gwrg,gwyv,gwl,gwa,gwb,hv,mean_cone_l,mean_cone_m,mean_cone_s,sd_cone_l,sd_cone_m,sd_cone_s,rmc_l,rmc_m,rmc_s,rsd_l,rsd_m,rsd_s,wpL,wpA,wpB,ld,rg_mix,by_mix,qualityc
02,1,6,mitsuba_comp_rmc_rsd_illum_4_rg_3_by_1_ld_2_bkgd_voronoi_diff_dist.png,green,3,1,lighter,voronoi_diff_dist,-0.9507811,0.0059252,-0.0001617,17.4972307,3.0646536,-0.0056824,0.0052249,0.0040953,0.0023903,21.9096192,3.2489747,0.6031862,0.0588762,0.0563234,0.0506474,0.0589325,0.0563965,0.0506515,0.10561,-0.24666,0.5958,0.36313,-1.4321,-0.93777,0.015304,-0.02738,11.8204,5.0039,3.3162,0.60536,0.0066706,0.0049809,0.0018451,0.02262,0.017974,0.0056875,5.4774,4.9941,1.6875,9.3198,8.6435,2.7102,91.5906,-6.2003,73.7937,0.18718,0.57552,0.21917,3
02,2,6,mitsuba_comp_rmc_rsd_illum_4_rg_3_by_1_ld_2_bkgd_voronoi_diff_dist.png,green,3,1,lighter,voronoi_diff_dist,-0.8562400,0.0189643,-0.0134625,31.8821730,3.7067469,2.2247570,0.0152635,0.0119087,0.0064181,38.1900649,3.9094685,3.3536128,0.1719937,0.1637832,0.1359896,0.1722480,0.1641323,0.1361952,0.10561,-0.24666,0.5958,0.36313,-1.4321,-0.93777,0.015304,-0.02738,11.8204,5.0039,3.3162,0.60536,0.0066706,0.0049809,0.0018451,0.02262,0.017974,0.0056875,5.4774,4.9941,1.6875,9.3198,8.6435,2.7102,91.5906,-6.2003,73.7937,0.30916,0.57865,0.22,5
02,3,6,mitsuba_comp_rmc_rsd_illum_4_rg_3_by_1_ld_2_bkgd_voronoi_diff_dist.png,green,3,1,lighter,voronoi_diff_dist,-0.8682547,0.0175534,-0.0114986,30.5093584,3.7205138,2.0044521,0.0139916,0.0109112,0.0059182,36.6349370,3.9346532,3.0806094,0.1576611,0.1500655,0.1253983,0.1578847,0.1503588,0.1255945,0.10561,-0.24666,0.5958,0.36313,-1.4321,-0.93777,0.015304,-0.02738,11.8204,5.0039,3.3162,0.60536,0.0066706,0.0049809,0.0018451,0.02262,0.017974,0.0056875,5.4774,4.9941,1.6875,9.3198,8.6435,2.7102,91.5906,-6.2003,73.7937,0.29675,0.58021,0.21917,5
02,4,6,mitsuba_comp_rmc_rsd_illum_4_rg_3_by_1_ld_2_bkgd_voronoi_diff_dist.png,green,3,1,lighter,voronoi_diff_dist,-0.8730721,0.0169415,-0.0106900,29.9354215,3.7187212,1.9053652,0.0134810,0.0105123,0.0057187,35.9854940,3.9312956,2.9602037,0.1519076,0.1445782,0.1211706,0.1521111,0.1448645,0.1213260,0.10561,-0.24666,0.5958,0.36313,-1.4321,-0.93777,0.015304,-0.02738,11.8204,5.0039,3.3162,0.60536,0.0066706,0.0049809,0.0018451,0.02262,0.017974,0.0056875,5.4774,4.9941,1.6875,9.3198,8.6435,2.7102,91.5906,-6.2003,73.7937,0.29163,0.58073,0.21917,4
02,1,7,mitsuba_comp_rmc_rsd_illum_4_rg_3_by_1_ld_2_bkgd_voronoi_diff_dist_brighter.png,green,3,1,lighter,voronoi_diff_dist_brighter,-0.2162921,0.1176467,-0.2688187,68.2696644,2.3325248,16.0797130,0.0830978,0.0643358,0.0265039,79.3854958,2.2391784,19.4999167,0.9363696,0.8848281,0.5615747,0.9389010,0.8886973,0.5643202,-0.047166,-0.24148,0.58137,0.36053,-1.4176,-0.76286,0.096052,-0.044443,37.8075,13.7455,2.9967,0.53283,0.026033,0.018326,0.0096515,0.023614,0.018278,0.0059794,2.3286,2.0502,0.83231,1.5233,1.4013,0.41633,91.2654,-6.1161,73.4248,0.63966,0.53385,0,5
02,2,7,mitsuba_comp_rmc_rsd_illum_4_rg_3_by_1_ld_2_bkgd_voronoi_diff_dist_brighter.png,green,3,1,lighter,voronoi_diff_dist_brighter,-0.1920399,0.1505112,-0.2177397,69.1306228,6.2909177,12.3841120,0.0861638,0.0658391,0.0299185,80.3550210,6.6932437,15.3888496,0.9709179,0.9055035,0.6339254,0.9731701,0.9087768,0.6361104,-0.047166,-0.24148,0.58137,0.36053,-1.4176,-0.76286,0.096052,-0.044443,37.8075,13.7455,2.9967,0.53283,0.026033,0.018326,0.0096515,0.023614,0.018278,0.0059794,2.3286,2.0502,0.83231,1.5233,1.4013,0.41633,91.2654,-6.1161,73.4248,0.67893,0.60104,0.14667,3
02,3,7,mitsuba_comp_rmc_rsd_illum_4_rg_3_by_1_ld_2_bkgd_voronoi_diff_dist_brighter.png,green,3,1,lighter,voronoi_diff_dist_brighter,-0.3587544,0.0961501,-0.1808229,62.8188936,3.4065723,12.0589451,0.0680523,0.0527034,0.0233861,73.2117196,3.4583637,14.9102146,0.7668322,0.7248450,0.4955145,0.7686419,0.7275673,0.4973419,-0.047166,-0.24148,0.58137,0.36053,-1.4176,-0.76286,0.096052,-0.044443,37.8075,13.7455,2.9967,0.53283,0.026033,0.018326,0.0096515,0.023614,0.018278,0.0059794,2.3286,2.0502,0.83231,1.5233,1.4013,0.41633,91.2654,-6.1161,73.4248,0.59863,0.55573,0.0925,4
02,4,7,mitsuba_comp_rmc_rsd_illum_4_rg_3_by_1_ld_2_bkgd_voronoi_diff_dist_brighter.png,green,3,1,lighter,voronoi_diff_dist_brighter,-0.8261620,0.0345894,-0.0437137,35.0117815,4.4856790,6.8734272,0.0185739,0.0141268,0.0065744,41.7383464,4.8154776,8.6094635,0.2092961,0.1942902,0.1393007,0.2097929,0.1949800,0.1397688,-0.047166,-0.24148,0.58137,0.36053,-1.4176,-0.76286,0.096052,-0.044443,37.8075,13.7455,2.9967,0.53283,0.026033,0.018326,0.0096515,0.023614,0.018278,0.0059794,2.3286,2.0502,0.83231,1.5233,1.4013,0.41633,91.2654,-6.1161,73.4248,0.31735,0.5901,0,4
02,1,8,mitsuba_comp_rmc_rsd_illum_4_rg_3_by_4_ld_1_bkgd_voronoi_yellow.png,green,3,4,darker,voronoi_yellow,-0.9733290,-0.0135096,0.0054173,11.3149638,-9.9605090,-2.6703006,0.0026105,0.0025591,0.0015266,14.9090896,-11.7504676,-2.5048849,0.0294154,0.0351959,0.0323472,0.0294478,0.0352710,0.0323373,-0.14062,-0.28716,0.53254,-0.29874,-0.14059,-0.92541,-0.016182,-0.016844,16.7724,-7.7743,5.9556,0.3053,0.007547,0.0066796,0.0028896,0.018827,0.01694,0.0086217,1.1387,1.3672,1.8416,1.537,1.8112,2.9682,90.1497,-19.4382,5.0104,0.13988,0,0.3875,5
02,2,8,mitsuba_comp_rmc_rsd_illum_4_rg_3_by_4_ld_1_bkgd_voronoi_yellow.png,green,3,4,darker,voronoi_yellow,-0.9000512,-0.0152828,0.0340287,26.4196807,-1.2497726,-6.6974951,0.0102893,0.0089107,0.0063340,31.9961397,-1.8027485,-6.7350240,0.1159432,0.1225515,0.1342084,0.1158605,0.1224409,0.1339957,-0.14062,-0.28716,0.53254,-0.29874,-0.14059,-0.92541,-0.016182,-0.016844,16.7724,-7.7743,5.9556,0.3053,0.007547,0.0066796,0.0028896,0.018827,0.01694,0.0086217,1.1387,1.3672,1.8416,1.537,1.8112,2.9682,90.1497,-19.4382,5.0104,0.29615,0.47552,0.66583,4
